Eng,Chi
Kelvin Lo,Kelvin Lo
Jan Van der Roost,Jan Van der Roost
Ponte Romano,Ponte Romano
Samuel R. Hazo,Samuel R. Hazo
Exultate,Exultate
Philip Sparke,Philip Sparke
Sunrise at Angel's Gate,Sunrise at Angel's Gate
Thomas Doss,Thomas Doss
Jungle,Jungle
Jackie O'Neil,Jackie O'Neil
Our Land Our Home,Our Land Our Home
Johnny Fong Hiu-kai,方曉佳
Jacqueline Li,李巧靈
D. Milhaud,D. Milhaud
Duo Concertante,Duo Concertante
Purcell,Purcell
Lilliburlero,Lilliburlero
Johnann Melchior Molter,Johnann Melchior Molter
L. Bernstein,L. Bernstein
Sonata for Clarinet and Piano,Sonata for Clarinet and Piano
Bilstrode Whitelocke,Bilstrode Whitelocke
Coranto,Coranto
Gordon Jacob,Gordon Jacob
Five Pieces for Solo Clarinet,Five Pieces for Solo Clarinet
Lo Hau Man,Lo Hau Man
New Commission work,New Commission work
A. Piazzolla,A. Piazzolla
G. Gershwin,G. Gershwin
F. M. JeanJean,F. M. JeanJean
Guisganderie,Guisganderie
Zhou Yi,周翊
Wong Lok-ting,黃樂婷
Xiang Xuan,向旋
Xu Hui,徐慧
Han Jingna,韓婧娜
Mao Qinghua,毛清華
Li Xiaoding,李曉丁
Tung Hiu-lo,董曉露
An Yue,安悅
Li Wei,黎偉
Qi Hongwei,齊洪瑋
Joshua Chan,陳錦標
Skyland Ascended (Huqin Quartet),夢遊天姥(胡琴四重奏)
New Flight of the Bumblebee (Huqin Quartet,新野蜂飛舞(胡琴四重奏
Arr. by Alfred Wong),黃學揚編曲)
Lao Luo,老鑼
Ran Shao Xi Wang (Huqin Quartet),燃燒希望(胡琴四重奏)
Wang Se,王瑟
Cloud．Wind (Huqin Quartet),雲．風(胡琴四重奏)
Hua Yanjun,華彥鈞
Reflection of the Moon on the Water (Huqin Sextet,二泉映月(胡琴合奏
Arr. by Lee Huanzhi),李煥之編配)
,胡琴六重奏)
Ng Kingpan,伍敬彬
Cui Can,崔燦
Amy Hu,胡美儀
Hsin Hsiao-hung,辛小紅
Lee Huanzhi,李煥之
The Spring Festival Overtune,春節序曲
Sui Lijun,隋利軍
Yang Yidan,楊一丹
Heartstrings (Monochord Zither Solo),心弦(獨弦琴獨奏)
Chan Wing-wah,陳永華
Eight Steeds,八駿
Endless Words,千言萬語
With Best Wishes (Arr. by Chen Ning-Chi),祝福你(陳能濟編曲)
Best of Luck for the New Year - A Medley of Chinese New Year Songs (Arr. by Chen Ning-Chi),新年行大運—新年歌曲聯奏(陳能濟編曲)
劉孝揚,劉孝揚
邱少彬,邱少彬
紀華彬,紀華彬
李孟松,李孟松
凌小玲,凌小玲
孔雀東南飛(箏獨奏及箏協奏曲),孔雀東南飛(箏獨奏及箏協奏曲)
陽關三疊,陽關三疊
上山,上山
天倫,天倫
相見歡,相見歡
萬葉千聲,萬葉千聲
梅花頌,梅花頌
紅豆詞,紅豆詞
浣溪沙,浣溪沙
偶然,偶然
離恨,離恨
秋花秋蝶,秋花秋蝶
記夢,記夢
我住長江頭,我住長江頭
大江東去,大江東去
教我如何不想他,教我如何不想他
何年何日再相逢,何年何日再相逢
山中,山中
再別康橋,再別康橋
飄零的落花,飄零的落花
玫瑰三願,玫瑰三願
花非花,花非花
Hu Biao,胡彪
Ma Ke,馬克
Yang Mei Jiao,楊美嬌
Zhang Wei Liang,張維良
Chen Yue,陳悅
Zhang Jian,張健
Chen Yun Ying,陳昀穎
Yeung Wai Kit,楊偉傑
萬年紅(竹笛獨奏,萬年紅(竹笛獨奏
二人台曲牌,二人台曲牌
馮子存編曲),馮子存編曲)
趙松庭,趙松庭
曹星,曹星
幽蘭逢春(竹笛獨奏),幽蘭逢春(竹笛獨奏)
簡廣易,簡廣易
牧民新歌(竹笛獨奏),牧民新歌(竹笛獨奏)
張維良,張維良
花泣(竹笛獨奏),花泣(竹笛獨奏)
伍卓賢,伍卓賢
一陣風(竹笛七重奏),一陣風(竹笛七重奏)
郭文景,郭文景
竹笛三重奏),竹笛三重奏)
Joel Hoffman,Joel Hoffman
竹笛合奏),竹笛合奏)
張大龍,張大龍
黎英海改編,黎英海改編
張維良編配),張維良編配)
青主,青主
馮子存編曲,馮子存編曲
吳朝勝,吳朝勝
林美齡,林美齡
唐健垣,唐健垣
譚寶碩,譚寶碩
徐美婷,徐美婷
呂培原,呂培原
金蛇狂舞(大合奏),金蛇狂舞(大合奏)
將軍令(大合奏),將軍令(大合奏)
高山流水(琵琶獨奏),高山流水(琵琶獨奏)
平沙落雁(琵琶獨奏),平沙落雁(琵琶獨奏)
桂花冷雨(洞簫獨奏),桂花冷雨(洞簫獨奏)
瀟湘水雲(古琴獨奏),瀟湘水雲(古琴獨奏)
泰山觀日(琵琶師生合奏),泰山觀日(琵琶師生合奏)
春江花月夜(器樂重奏),春江花月夜(器樂重奏)
龍騰虎躍(大合奏),龍騰虎躍(大合奏)
醉漁唱晚(古琴獨奏),醉漁唱晚(古琴獨奏)
梅花三弄(古琴獨奏),梅花三弄(古琴獨奏)
酒狂(古琴獨奏),酒狂(古琴獨奏)
雲門夜雨(洞簫獨奏),雲門夜雨(洞簫獨奏)
塞上曲(琵琶,塞上曲(琵琶
