Eng,Chi
in a total of 29 people,
Roland Hagenberg,
BART LEFEBURE,
BOB DE MOOR,
BOSSCHAERT,
CRAENHALS,
DANY,
DOMINIQUE DAVID,
FERRY,
FRANÇOIS SCHUITEN,
FRANK PÉ,
GOTLIB,
HERGÉ-MOULINSART,
JAN BOSSCHAERT,
JAN VAN DER VEKEN,
JEAN-CLAUDE SALEMI,
JEAN-POL,
JOHAN DE MOOR,
MARC SLEEN,
MARIANNE DUVIVIER,
MARVANO,
MERHO,
PHILIPPE GELUCK,
PIETER DE POORTERE,
ROBA,
ROSINSKI,
STUDIO MAX,
TIBET,
WALTHÉRY,
WILL,
WILLIAM VANCE,
YSLAIRE,
Aaron Kai,
Oscar Oiwa,
Yu Pui Shan,余佩珊
Na Wei,那危
Chu Chu,儲楚
Wang Mengsha,王濛莎
Yao Yuan,姚媛
Zhang Yirong,張藝蓉
Shio Kusaka,
Vanessa Franklin,
Dustin Shum,岑允逸
Bunsho Kiln,
Yang She Wei,
Cai Guo-Qiang,蔡國強
Gu Gan,古干
Michael Leung @ Community Farming Project,梁志剛 @ 社區耕種計劃
,盧樂謙 @ 人民足球
Him Lo @ People's Pitch,
,何穎雅
Elaine W. Ho,高穎琳 @ 週街展
Kobe Ko @ Chow Kai Chin,吞拿魚獎
Tuna Prize,百呎公園
100 ft. Park,假如 (死在香港)
As If (Death in Hong Kong),梁御東聯同BLOKE
,姚妙麗
Ocean Leung featuring BLOKE,
Joe Yiu,
Christopher Doyle,杜可風
Zheng Ji Ling,黑文
Carlos Cruz-Diez,克魯茲–迭斯·卡洛斯
Carmen Chan,
Ryan San,
Hernan Bas,
João Vasco Paiva,
Hung Keung,洪強
GÉRARD RANCINAN,
CHEN Wei,陳維
One Plus Fine Art Space,
Michael Kenna,
Huang Yintzu(Taiwan),黃尹姿
Samuel Yip,葉韋瀚
Thomas Ip,葉國棟
Lai Ka-yiu Ruck,黎嘉曜
Mau Kai-chau,繆啟宙
Chan Chong-tat,陳昶達
Kan Ho-fai,簡浩輝
Lam Cheuk-hin,林卓軒
Leung Kin-hung,梁堅洪
Silas Fong,方琳宇
Fu Yunxue Snow,傅韻雪
Ong Kian-peng,王建斌
Zhou Shan,周杉
Long Xinru,龍心如
Lau Ching-wa,劉清華
Yuto Hasebe(Japan),長谷部勇人
Morgan Wong,黃榮法
Eston Tan,
Michael Cook,
,1
THILO HEINZMANN,
Alice Chan,
Chris Lo,
Gary Tse,
Jessie Cheung,
Joyce Li,
Kevis Wong,
King Fung,
Al Karim,
Chan Kam Shing,陳錦成
Cheung Chi Ming,鄭志明
Heung Kin Fung,香建峰
Lai Wai Yi,黎慧儀
Lee Suet Ying,李雪盈
Tang Ying Mui,鄧凝梅
Tse Lok Lun,謝諾麟
Tse Ming Chong,謝明莊
Wong Chun Yam,黃振欽
KHOO Fuk-lung,邱福龍
Choi Sai-ho,蔡世豪
Liu Yuanshou,劉元壽
Claire Lau,劉漢澄
Tschäpe,賈奈娜 ‧ 查普
,王翠鈺
,江玉庭
,余涴清
,吳麗和
,冼靜文
,幸華美
,張惠珍
,康雁屏
,張瑞薇
,梁玉儀
,梁志榮
,陳若梅
,陳詠怡
,陳燕雲
,曾志豪
,黃妙韾
,黃健芬
,葉世琼
,劉  嬋
,蕭柏強
,錢明娣
,謝佩珊
,羅燕媚
,譚淑娟
TAKA & Kahori Maki,
Lionel Smit,
Chan Cho Kiu,陳楚翹
Chan Hui Tung,陳曉彤
Hui Chun Kit,許俊傑
Kwong Wong Ting Pag,鄺王婷
Lee Wing Yee,李穎儀
Li Ling Muki,林凌
Wong Ming Sum Wesley,黃銘心
Juni Yu,俞俊傑
Yu Wai Yan Vienn,余煒恩
Liu Wai Ling Winnie,廖瑋玲
Lam King Lo LuLu,林璟璐
Ko Tat Kuen,高達權
Ho Shan Shan,何姍姍
Lam Yat Fung,林逸丰
Yung Kwun Ling,翁冠玲
Tsoi Shuk Ting Cherry,蔡淑婷
Shi Xintong Penny,施昕彤
Harold de Puymorin,
How We Dwell and Waiwai,
Lin Jingjing,
Wang Guofeng,
Zhou Wendou,
and Zhao Jinhe,
Nadav Kander,Nadav Kander
Christian GAILLARD,
Keiichi Tanaami,田名網敬一
Merlin Carpenter,
Paul YEUNG,楊德銘
ZHENG Yaohua,鄭耀華
30 graduating intimate apparel students of ITC,
Danny Lau，Wrongwroks,
Santo Bongiorno,
Mini C,
Foster Eastman,
Herlinde Kölbl,
Oscar Chan,
Bea AU,
Michelle Chan,
Philip Chan,
Karen Choi,
Irene Flanhardt,
Marissa Reyes,
Calvin Sit,
Jimmy Tsang,
Mable Tsang,
Tracey van Geest,
Stephanie Sin,
Damon Tong,
Timothy Zauho,
Derekque,郭遠堅
Miguel Chevalier,
Michael CHEUNG,
Telly WOO,
Andy WONG & Polly HO,
Dawn LAW,
Sonia CHAN & Grace YUE,
Ronno IP,
Ka Wai TONG,
Kenny LI,
Karen LAU,
Kit CHOW & Nam CHUNG,
Percy LAU,
Po Fung CHAN,
Ng Sai Kit,吳世傑
Kenny Wong,黃智銓
,陳伸
,陳彥
PAUL ALEXIS,
