Eng,Chi
Allen Yuan,袁勝倫
Hung Tak-man,熊德敏
Lai Man-wai,賴文慧
Cai Yin,謝茵
Xie Fei,蔡飛
黃磊,黃磊
尹敏碩,尹敏碩
柳碩勳,柳碩勳
Miss Violet Ng,吳雪梅小姐
Miss Cannis Kam,甘穎欣小姐
Miss Alice Mak,麥詠詩小姐
Miss Annie Yim,嚴雁翎小姐
Miss Shadow Siu,蕭慧君小  姐
Miss Debbie Chan,陳顗安小姐
Miss Angela Leung,梁淑棋小姐
Miss Lau Ying Kwan,劉盈君小姐
Miss Ko Chung Man,高頌雯小  姐
Miss Emily Ho,何皓文小姐
Miss Kylie Sham,岑潔盈小姐
Miss Elaine Kan,簡伊翎小姐
Miss,殷善行小  姐
Ms. Leung Ki Fun,梁其芬女士
Stella Arauzo,史特拉．阿勞佐
Antonio Gades and Carlos Saura,安東尼奧．加迪斯及卡洛斯．紹拉
,羅莎里奧．包薩
,赫克托．法爾肯
Rudi van Dantzig,盧狄．凡登士
Kenneth Hui Ka Chun,許嘉俊
Yui Sugawara,菅原愉依
John Utans and Yang Hao,余載恩及楊浩
Natalie Weir,娜泰莉‧維亞
Pär Isberg,帕．伊斯伯格
Gloria Chiu,趙  穎妍
Päivi Aura,Päivi Aura
Kati Lehtola,Kati Lehtola
Lieve Hermans,Lieve Hermans
Miss Jaimie Lam,藍婉兒小姐
Miss Gloria Chan,陳小玲小姐
Miss Monie Lam,藍婉雯小姐
LAI SIU LING,黎少玲
Miss Ho Kit Yan Monica,何潔茵小姐
Mr Chow Man Fai,鄒文輝先生
Ms. Winky Chau,仇詠詩小姐
Ms. Winky Chau,Ms. Winky Chau
Kwok Wing Yan,Kwok Wing Yan
Lam Wing Yi,Lam Wing Yi
Lwung Yee Tak,Lwung Yee Tak
Emily Chan,Emily Chan
Sue So,Sue So
Helga Fung,Helga Fung
Charlotte Ho,Charlotte Ho
Melody Kwan,Melody Kwan
Rainbow Tsui,Rainbow Tsui
Grace Chan,Grace Chan
Connie Lau,Connie Lau
Kim Jae Duk,Kim Jae Duk
Rebecca,
Lam Kwan-fai,林鈞暉
Daniel Lo,盧定彰
Melodic Chau,周樂娉
Harmonic Chau,周樂婷
Timoth,蔡立德
,龍向榮
,林穎穎
,許嘉俊
,伍宇烈
,梁咏琳
Kenneth Hui,許嘉俊
,丘展誠
,夏恩蓓
Fok Ka Wing,丘展誠
(Chinese Only),蔡穎
Mao Wei,毛維
,呂沅蔚
,招詠彤
,莫嫣
,張秀梅
Ronny Wong,黃銘熙
Becky,吳嘉熙
,吳燕珊
,劉敬雯
,楊樂文
,禤天揚
,黃浩邦
,任碧琪
(Chinese Only),Alberto Garcia
St廧hanie Fuster,St廧hanie Fuster
(Chinese Only),鄭求昊
(Chinese Only),尹星珠
Val Caniparoli Libretto,卡尼柏諾烈 劇本
Norbert Vesak,諾伯‧維沙克
David Gano(Act I),大衞‧簡奴(第一幕)
Robert Glay de La Rose(,30PM)
,30PM)
,30P
Chao-ye He,何超亞
Ryo Kato Pr,尊尼芬‧斯納
Jun Chen,陳俊
Jia-bo Li,李嘉博
Ka-chun Hui,許嘉俊
Ryo Kato,加藤凌
Chun-long Leung,梁晉朗
Lin Li,李林
(Chinese Only),米瀚文
,約吉蒂‧多蓮娜
(Chinese Only),歐美蓮
(Chinese Only),佩蒂巴
,艾化李夫
,米瀚文
,白家樂
,周錦欣
Carlo Pacis,約吉蒂‧多蓮娜
Rona,戰薪潞
,文子 服裝
Pyotr Ilyich Tchaikovsky,柴可夫斯基
Carmen Hung Assi,錢韋君
A Short,児玉孝文
Na,野邊壯平
,豊福彬文
,児玉孝文
,野邊壯平
,高橋留美子
,李嘉雯
,伍美宜
,Genki.Ohno
Takafumi Kodama,児玉孝文
Souhei Minowa,野邊壯平
Akifumi Toyofuku,豊福彬文
Rumiko Takahashi,高橋留美子
Yuan Shenglun,袁勝倫
Kim Jae-seung,金載丞
Yuri Nagaoka,長岡優理
Daniel Yeung & Da,黃翠絲
,李拓坤
,李宰永
,張堅志
Lee Jae-young,李宰永
Tsai Po-cheng,蔡博丞
He Yongning,何泳寧
Lee Che-yi,李哲藝
Lok Fung Set Desi,楊我華
Wu Kam ming,胡錦明
Carmen Yau,丘文紅
Lee Hoi Tung,李愷彤
Hu Xiaoou,胡曉歐
Mandy,黃子珏
Ke Zhiyong,蔡飛
Wu Kam ming,柯志勇
Carmen Yau,胡錦明
Lee Hoi Tung,丘文紅
Hu Xiaoou,李愷彤
Instructors of the Children’s and Youth Troupes,胡曉歐
Choi Sai-h,黃志偉
QIAO SONG,喬聳
ZHANG XING,張杏
BILLY,鄧煒培
SUN YING,孫穎
Sean Li,李承謙
Alston Ng,伍文輝
Jacky Liong,梁駿軒
Stacy Ip Wing-kwan,葉穎君
L C Fu,馮聯超
Pasha Umer,帕夏吾賣爾
(Chinese Only),梁國城
Cheung Wai Pan,程偉彬
So Lok Kin,蘇樂鍵
Zo,麥樹
,中國舞集
,黃日芝芭蕾舞學校
,T C Ballet
,Brilliant Dancer
(Chinese Only),黃釗鑫
,何翠亮
,何啟華
,蘇樂鍵
,王銘聰
,黃宗謙
,楊曉峰
,Remarx CreatiVe
(Chinese Only),徐偉賢
,黃思豐
,鄧詠雪
,陳建文
,黃釗鑫
,謝裕鈴
,陳健迅
,袁澤森
,李穎棋
,李知喬
,房勺
(Chinese Only),趙浩然
(Chinese Only),林薇薇
,梁天尺
,陳瑋聰
,王樂儀
,李思葦
,朱
Frédéric,Frédéric
V廨onique Murat Set,V廨onique Murat Set
(Chinese Only),Calvin Lam
Lydie Alberto,Lydie Alberto
William Domiquin( Talents Adami ),William Domiquin( Talents Adami )
J廨獽e Fidelin( Talents Adami ),J廨獽e Fidelin( Talents Adami )
Romain Guillermic( Talents Adami ),Romain Guillermic( Talents Adami )
Fran,Fran
Anthony Eg嶧,Anthony Eg嶧
陳詠慈,陳詠慈
余凱恩,余凱恩
劉潔華,劉潔華
劉美娟,劉美娟
勞雁婷,勞雁婷
吳凱程,吳凱程
施蓉妮,施蓉妮
朱家深,朱家深
杜美寶,杜美寶
林麗嬌,林麗嬌
萬天琳,萬天琳
謝心盈,謝心盈
鄧芷韻,鄧芷韻
鄭婉雯,鄭婉雯
阮佩欣,阮佩欣
陳湘瑜,陳湘瑜
陸思敏,陸思敏
魏寶儀,魏寶儀
何妙茵,何妙茵
羅淑儀,羅淑儀
司徒立強,司徒立強
(Chinese Only),陳詠慈
,余凱恩
,劉潔華
,劉美娟
,勞雁婷
,吳凱程
,施蓉妮
,朱家深
,杜美寶
,林麗嬌
,萬天琳
,謝心盈
,鄧芷韻
,鄭婉雯
,阮佩欣
,陳湘瑜
,陸思敏
,魏寶儀
,何妙茵
,羅淑儀
,司徒立強
Choi Jae-hyuk(Korea),崔宰赫(韓國)
Lee Jun-wook(Korea),李浚旭(韓國)
Lee Tsung-hsuan(Taiwan),李宗軒(台灣)
Wang Yeu-kwn(Taiwan),王宇光(台灣)
A,鈴木明倫(日本)
Choi Jae-hyuk,崔宰赫
Lee Jun-wook,李浚旭
Lee Tsung-hsuan,李宗軒
Wang Yeu-kwn,王宇光
Akinori Suzuki,鈴木明倫
Kelvin Mak,麥卓鴻
Maze Chan,陳旻禧
Helen Leung,梁晞藍
Carman LI,李嘉雯
Po Lui Wong,黃寶蕾
Chloe Lo Lok Yiu,盧樂瑤
Wu Wing Yan Janet,胡詠恩
Fan Luo,羅凡
鷹C傅,鷹C傅
Fok Ka-wing,霍嘉穎
Tsang Wing-fai,曾詠暉
,葉麗兒
,曾詠暉
,文念慈
,方佩思
,王滙盈
,丘亦穎
,朱佩鳳
,何佩凝
,何佳倫
,何美珊
,何曉媚
,吳卓
Evains Lui,呂沅蔚
Arf,羅創業
是生命之有常； 從生看死,是生命之有常； 從生看死
Chan Man Kwan   沉澱,陳敏珺   《沉澱
發現,發現
改變,改變
更新；再走回起點,更新；再走回起點
Jody Yip,葉麗兒
Jody Yip,聶曉晴
Fai Tsang,曾詠暉
,葉破
,Jesse Clockwork
,影行者
,葉破 圖片
,盧君亮
Akram Khan,艾甘 • 漢
Chien Ching-ying,簡晶瀅
,素希妮 • 亞蘭
,大衛 • 阿祖扎
,亞龍 • 恩格勒
,悅耳噪音(文森佐 • 拉麥拿)
Leung Siu Wai Priscilla,梁小衞
Han Mei,韓梅
Ken Kwok,溫子樑
,鄧偉豐
,陳湛文
,甜筒
,梁海琦
,蔡頴儀
Aldebaran Robotics,Aldebaran Robotics
,余
Francesco Ventriglia,法蘭西斯科．文迪利亞
Liam Scarlett,里安姆．史家列
Leu,古琴選集
Carlos Acosta,卡洛斯．阿哥斯達
Enrique Corrales,恩里克．哥拉雷斯
Ver鏮ica Corveas,維朗妮嘉．歌爾維思
Ely Regina Herandez,伊萊．維珍娜．靴南迪斯
Gabriela Lugo,加比艾拉．盧戈
Laura Rodr璲uez,羅拉．羅德里格斯
Javier Rojas,查維亞．羅哈斯
Deborah S跣chez,狄博拉．姍翠斯
Alejandro Silva,亞歷康德羅．斯爾華
Leticia Silva,萊蒂茜亞．斯爾華
Luis Valle,路易斯．華爾
,陳素妍
Lee Chi-wai Mu,黃飛鵬
,麥綮桁
,陳俊夫
,郭翠怡
,王希桓
(Chinese Only),丘展誠
,徐茵祈
,鄭銘恩
,周金毅
(Chinese Only),王榮祿
Conceiver Victor Choi-wo MaProducer Mandy Ming-yin YimChoreographer Victor Choi-wo Ma,馬才和
Mandy Ming-yin YimPerformer Victor Choi-wo Ma,馬才和
Victor Choi-wo Ma,馬才和
Mandy Ming-yin Yim,嚴明然
Nadia Vigueras Moreno,娜蒂亞‧維古拉斯‧莫蓮努
