title,organization/people
李思颺及王丹琦 @ NeoDanceHK,
郉亮及創新團隊,Organization
周佩韻,
郉亮,
林俊浩,
梁家權,
蔡穎及創作團隊,Organization
探戈之火舞團,Organization
柏高班拿佛蘭明高舞蹈團,Organization
國家文化部,
香港特別行政區政府民政事務局,Organization
新疆迪麗娜爾藝術團,Organization
蘭伯特舞蹈團,Organization
北京舞蹈學院青年舞團,Organization
韓錦濤,
台灣無垢舞蹈劇場,Organization
蔡香順舞蹈團,Organization
艾甘漢,
愛沙尼亞國家芭蕾舞團,Organization
嗱嗱淋舞團,Organization
大藍孩,
鄧樹榮戲劇工作室,Organization
雷勁舞團,Organization
University of Colorado Boulder,
港台文化合作委員會,
陳敏兒及陳懿凡,
馬師雅,
李家祺,
黃振邦,
李咏靜,
陳俊偉,
黃龍斌,
香港話劇團,Organization
演戲家族,
青協香港旋律,Organization
非常林奕華,
梳打埠實驗工場藝術協會,Organization
一舖清唱,
Andy WONG and Taiju MATSUMOTO,
Pleroma Theatre Production,
香港青年協會,Organization
香港演藝舞蹈團,Organization
舞人,
東區兒童舞蹈團,Organization
小水點舞蹈團,Organization
星榆舞蹈學校,Organization
韵情舞坊,
清雅舞集,
盈蘭逸興舞集,
趙蘭心舞蹈學校,Organization
李偉倫舞蹈學院,Organization
太極之盤龍長穗劍,
LA P EN V優之舞,
九龍城區老人福利康樂聯會,
喜樂藝術團,Organization
深水埗文藝協會,Organization
香港雅樂藝術團,Organization
神戲劇場,Organization
Focus Theatre,
康樂及文化事務署－文化節目組,
香港國際民俗舞蹈總會,Organization
香港基督徒舞坊,Organization
中國民族民間文化藝術交流協會﹝香港﹞有限公司,Organization
上海芭蕾舞團,Organization
青苗琴行,
藝智星精英舞蹈學院,Organization
江湖小子,
香港歌舞藝術團,Organization
春暉藝術團,Organization
原創舞地帶,
旭穎青年舞蹈團,Organization
蔡偉雄舞蹈中心有限公司,Organization
香港城市藝術中心,Organization
春天藝術團,Organization
香港賽馬會,Organization
香港民族藝術團,Organization
香港青少年服務處「星鳥計劃－深宵青少年外展服務,Organization
進化舞蹈劇團,Organization
進化舞蹈劇團﹝美國／意大利﹞,Organization
天樂民族歌舞團,Organization
香港舞蹈團體聯會,Organization
屯門兒童舞蹈團,Organization
香港舞蹈聯會統籌,Organization
柏希斯佛蘭明高舞蹈團,Organization
香港藝術表演團,Organization
基督教家庭服務中心－潛能發展中心,
無聲模式,
香港舞蹈團 – 外展及教育部,Organization
小古古舞蹈室,Organization
小燕子舞蹈團,Organization
香港莎莎舞蹈團,Organization
紅舞鞋舞蹈學院,Organization
葵青舞蹈團,Organization
香港舞蹈團少年團,Organization
愛飛舞軒,
聖公會莫壽增會督中學,Organization
LaPenV優之舞,
LSSDanceGroup,
R&T﹝Rhythm&Tempo﹞,
TheKDynasty,
香港手風琴藝術團,Organization
澳門特別行政區政府文化局,Organization
東方藝術團,Organization
凌采舞蹈團,Organization
香港民族民間歌舞團,Organization
悅舞者,
法國駐港澳總領事館,
動藝有限公司,Organization
香港青年協會賽馬會祥華青年空間,Organization
飛躍舞蹈劇場﹝美國﹞,Organization
馬鞍山民康促進會,
馬鞍山舞蹈團,Organization
謝慧玲舞蹈學院,Organization
日內瓦芭蕾舞團﹝瑞士﹞,Organization
派洛布魯斯舞蹈劇場﹝美國﹞,Organization
香港中東鼓舞樂團,Organization
曾眉芭蕾舞學校,Organization
聖公會莫壽增會督中學校友會,Organization
一代舞團﹝韓國﹞,Organization
李莉仙廸芭蕾舞學校,Organization
藝萃教室,
香港藝術團,Organization
貴州省歌舞劇院,Organization
藝苗舞蹈團,Organization
聖雅各福群會中西區長者地區中心,
西貢崇真天主教學校﹝小學部﹞,Organization
陳紹傑舞蹈概念,Organization
天津人民藝術劇院,Organization
明愛賽馬會德田青少年綜合服務,
栢藝舞蹈及音樂學院,Organization
屯門體育會有限公司,Organization
屯門區議會社區關懷工作小組,Organization
國際兒童舞蹈團﹝香港﹞,Organization
冼杞然,
敦志偉,
譚天樂,
林子楊,
菁華舞蹈藝術中心,Organization
香港兒童舞蹈藝術表演團,Organization
西班牙國立舞劇院,Organization
香港程氏魔術雜技團,Organization
曉麗苑業主協會,Organization
耀舞台,
聖彼得堡艾庫曼芭蕾舞團﹝俄羅斯﹞,Organization
協青社嘻哈學校,Organization
香港青年協會荃灣青年空間,Organization
中西區區議會,Organization
文化康樂及社會事務委員會,Organization
傳藝舞蹈團,Organization
城市當代舞蹈團舞蹈中心,Organization
東華三院蕭旺李滿福幼兒園,Organization
雲舞團,Organization
中西區文化藝術協會,Organization
中西兒童舞蹈團,Organization
灣仔區議會文化及康體事務委員會,Organization
聖雅各福群會－心飛舞團,Organization
香港兒童舞蹈教育推廣協會,Organization
SDM爵士芭蕾舞學院,Organization
小龍鳳舞蹈劇場,Organization
聖馬加利男女英文中小學,Organization
東華三院余墨緣綜合服務中心,Organization
葵青文藝協進會葵青舞蹈團,Organization
Room 9 Dance Theatre,
市區重建局,Organization
油尖旺區文化藝術活動統籌委員會,
屯門區議會藝術督導小組 & 屯門文藝協進會,Organization
大埔區文藝協進會,Organization
香港離島文化藝術協會,Organization
香港浸會大學,Organization
羅馬尼亞吉卜賽舞蹈劇場,Organization
元朗藝術節統籌委員會,
劇場脈搏,Organization
俄羅斯頓河哥薩克國立民族歌舞團,Organization
周可凡,
梁惠敏,
甄拔濤,
周雪甄,
鄧暢為,
四度舞蹈劇場,Organization
新真央﹝日本﹞,
GeorgHofmann﹝瑞士﹞,
MikeNord﹝美國﹞,
多空間﹝香港﹞有限公司,Organization
黎小琪,
愛麗斯芭蕾舞學校,Organization
西九文化區管理局,Organization
中國舞同好會,
油尖旺區青年活動委員會,
油尖旺民政事務處,
北區青年協會,Organization
MK芭蕾舞團,Organization
青藝舞蹈學院有限公司,Organization
中西區區議會事務工作小組,Organization
亮點藝術團,Organization
梁芷茵,
Toccata Studio,
Malaysia,
阿根廷激情舞團,Organization
思藝舞蹈中心,Organization
卓利綜藝工作坊,
中國文化香港藝術文娛公司,Organization
Studiodanz,
黃靜雯,
香港城市室樂團,Organization
亞妮瑪部落,
崔莎．布朗舞蹈團,Organization
蘇格蘭芭蕾舞團,Organization
探戈舞藝學會,
俄羅斯莫伊謝耶夫舞團,Organization
北區區議會—「舞藝社區」計劃,Organization
香港小童群益會賽馬會粉嶺青少年綜合服務中心,Organization
艾甘漢舞蹈團,Organization
香港青少年服務處賽馬會天平青少年綜合服務中心,Organization
翩娜．包殊烏珀塔爾舞蹈劇場,Organization
香港演樂藝術團,Organization
香港兒童及青少年創意藝術發展聯會,Organization
LAPENV優之舞,
淩采舞蹈團,Organization
香港學界舞蹈協會有限公司,Organization
紡織染文娛康樂社,Organization
馬天尼娛樂,
大名娛樂,
Cmediagroup,Organization
鄭多燕,
純心粹藝,
美國楊百翰大學社交舞團,Organization
地中海尼斯歌劇院芭蕾舞團,Organization
金色蓮花基金會有限公司,Organization
結界達人,
Pockemon Crew,
歐永財魅力弗拉門戈藝術團,Organization
春天實驗劇團,Organization
安娜琪舞蹈劇場﹝台灣﹞,Organization
三式﹝台灣﹞,
兆基創意書院,Organization
采延舞集,
工聯文化藝術促進會,
藝高現代舞蹈團,Organization
荃灣文藝康樂協進會有限公司,Organization
香港翔韻藝術團,Organization
藍鈴舞蹈團,Organization
青年發展活動,
天主教鳴遠中學,Organization
克羅地亞國家民族舞蹈團,Organization
油尖旺區議會與康樂及文化事務署,Organization
長洲鄉事委員會青年綜合服務中心,
甜甜舞蹈團,Organization
鄰舍輔導會東涌綜合服務中心,
香港青年動力協會,Organization
基督教香港崇真會沙田綜合服務中心,Organization
樂舞坊,
棠美天康樂會,
南區區議會,Organization
與華富耆樂會,
童謠藝坊,
循道衛理楊震社會服務處沙田青少年綜合發展中心,Organization
聖雅各福群會復康服務,
Work It Out,
嘉麗兒童及青少年舞蹈團,Organization
動派創作間,
拉闊劇團,Organization
小花仙舞蹈團,Organization
燈燈燈凳演舞館,
香港青年協會賽馬會葵芳青年空間,Organization
李莉仙迪芭蕾舞學校,Organization
香港南區婦女會,Organization
小跳豆兒童舞蹈團,Organization
湖北省演藝集團,Organization
LSS舞蹈組,Organization
曹德寶,
林波,
李偉健,
梁儉豐,
舞術,
香港演藝青年,Organization
張美珍芭蕾舞學校,Organization
灣仔區文娛康樂體育會,
進念二十面體,
進念．二十面體,
倩儀芭蕾舞學校,Organization
黃大仙區議會,Organization
葵青區議會文化藝術及運動推廣工作小組,Organization
青泰婦女會,
比利時終極舞團,Organization
油尖旺區議會,Organization
韓國駐香港總領事館,Organization
韓國李敬玉舞蹈團,Organization
亞洲文化協會香港分會,Organization
GFE長笛合奏團,Organization
佛教4D舞動劇場,Organization
中國文化漢語藝術工坊,
雙非劇團,Organization
日本安娜精靈舞蹈劇場,Organization
香港理工大學,Organization
梁小霞,
藝牽,
西九文化管理局,Organization
Stalker Theatre,
汕頭大學,Organization
苡蔓體育舞蹈學會,Organization
太古地產,
香港莎莎舞總會,Organization
香港西方舞總會有限公司,Organization
雲南省文學藝術聯合會,
雲南省關心下一代委員會,
雲南省舞蹈家協會,Organization
昆明青少年活動中心,
暑期青少年活動委員會,
香港賽馬會基金,Organization
意大利法比加藝術節,
北京舞蹈雙周,Organization
挪威奧斯陸歌劇院,Organization
深圳城市\\建築雙年展組委會辦公室,
香港大學,Organization
中西區民政事務處,
沙田文藝協會,Organization
沙田民政事務處,
專業舞台製作公司,Organization
DG Unir Productions,
尤根出品,
上海體育大學,Organization
Sound Pocket 聲音掏腰包,
新視野藝術節,
甄詠蓓戲劇工作坊,Organization
康樂及文化事務署 - 文化節目組,
杜哈絲製作團隊,Organization
ChanCanDance Theatre,
四川西昌市委宣傳部,
西昌市文化影視新聞出版局,Organization
嘉露貝雯芭蕾舞學及倫敦芭蕾舞學校,Organization
香港舞蹈聯會及香港舞蹈團,Organization
思銑慈善基金,
印尼香港聯合教會,Organization
印尼貿易部及印尼駐港總領事館,
新加坡南洋大學全球校友會,Organization
全劇場,Organization
